Row Labels,01/01/2023,01/02/2023,01/03/2023,01/04/2023,01/05/2023,01/06/2023,01/07/2023,01/08/2023,01/09/2023,01/10/2023,01/11/2023,01/12/2023,Grand Total
Ascona-Delta,36,33,50,60,46,41,40,38,27,43,43,37,494
Baden,18,9,13,16,9,8,5,12,13,9,12,15,139
Bâle,19,9,8,7,17,9,18,8,3,10,7,4,119
Balerna,28,19,50,43,36,26,21,37,43,45,37,52,437
Bienne,259,259,234,328,196,185,278,216,238,134,279,222,2’828
Chavannes,318,416,569,490,516,390,408,476,363,452,532,435,5’365
Chur,5,4,6,7,8,,2,8,8,5,6,11,70
Delémont,127,147,128,145,123,119,123,114,99,112,129,162,1’528
Emmen,16,15,20,18,21,24,12,16,16,23,21,26,228
Fribourg,444,485,597,451,542,452,420,400,549,543,407,456,5’746
Genève,717,676,769,670,744,664,484,597,609,655,697,535,7’817
Lausanne,529,463,764,502,588,476,495,520,573,498,579,534,6’521
Lugano,45,36,34,47,52,29,25,22,28,38,33,30,419
Marin,1’040,1’056,1’225,1’094,1’023,1’048,919,1’015,888,955,1’023,1’149,12’435
Monthey,1’539,1’254,1’517,1’220,1’210,917,1’077,1’105,1’236,1’274,1’242,1’293,14’884
Morges,293,262,390,309,359,293,274,376,321,375,326,307,3’885
Nyon,123,122,175,148,143,127,113,103,137,136,150,155,1’632
Rapperswil,9,5,7,4,9,2,5,17,13,10,9,6,96
Saint-Gall Webersbleiche,12,12,11,24,5,1,2,8,4,2,8,8,97
San Antonino,24,26,45,29,25,29,14,14,31,32,30,33,332
Sargans,7,8,5,4,9,4,4,5,6,5,4,3,64
Sierre,1’041,1’166,1’129,1’061,1’067,883,1’031,1’048,1’031,1’037,1’163,1’478,13’135
Sion,545,653,726,711,733,591,632,598,609,627,665,802,7’892
Vesenaz,147,152,192,180,162,148,141,147,140,203,172,203,1’987
Vevey,870,963,1’198,1’089,987,835,918,829,862,858,900,925,11’234
Vezia,30,20,79,42,42,23,34,58,31,44,33,57,493
Yverdon,410,436,487,473,465,380,387,399,401,356,414,454,5’062
